OBJECTID,Id,Lake_type,AREA,PERCENTAGE
50,51408,1,0.241878077700995,0.007833780645465
51,52053,1,3.460883373052575,0.112088707838775
52,52054,1,43.770137908136860,1.417597090456339
53,52055,1,62.457370483249221,2.022826312780437
54,52056,1,29.571863315948516,0.957753148597415
55,52057,1,13.670442631955922,0.442748883747712
56,52058,1,15.169999601364930,0.491315502415198
57,52059,1,14.156464029453888,0.458489810140008
58,52060,1,1.938871264666428,0.062794827590652
59,52061,1,9.685495416378448,0.313687156999655
60,52062,1,123.755986067261915,4.008123669697009
61,52063,1,29.675620156289373,0.961113553704907
62,52065,1,10.604755306806128,0.343459513412570
63,52772,1,24.486866534795631,0.793063773912988
64,52773,1,26.492664193813063,0.858026167484489
65,52774,1,45.372761352729803,1.469501755159936
66,52775,1,70.643397499361257,2.287949719629016
67,52776,1,33.654439988074529,1.089976830965454
68,52777,1,6.101783116086129,0.197620350434201
69,52778,1,26.073010216268575,0.844434703395113
70,52780,1,69.518682792520991,2.251523234079520
71,52781,1,2.179101965272475,0.070575254120999
72,52782,1,6.885851116535115,0.223014204995253
73,52783,1,34.844596812212785,1.128522810752543
74,52784,1,99.416413749696986,3.219830359478367
75,53491,1,10.654803646285808,0.345080444572931
76,53492,1,19.789566446966152,0.640930852799448
77,53493,1,32.286682300526714,1.045678836693962
78,53494,1,58.641514291404746,1.899240989688436
79,53495,1,76.347803769206777,2.472700102364517
80,53496,1,58.952549268661137,1.909314576381587
81,53497,1,2.923390682055651,0.094680764631058
82,53498,1,55.443637980665244,1.795670373501256
83,53499,1,62.740261026915270,2.031988376936146
84,53500,1,2.046102313519931,0.066267752971430
85,53502,1,0.450178715429132,0.014580078283443
86,53787,1,0.158107696874808,0.005120683227887
87,53979,1,0.483425962809737,0.015656867240593
88,54210,1,0.035322487163357,0.001144000394414
89,54211,1,27.890953741693345,0.903313006626984
90,54212,1,38.015296091633701,1.231213235960994
91,54213,1,24.610045965491455,0.797053224504279
92,54214,1,88.733084429313649,2.873826045012935
93,54215,1,38.958150747944785,1.261749763406144
94,54216,1,102.307470075527988,3.313463901242501
95,54217,1,1.346651403549723,0.043614418477218
96,54218,1,273.184156813148491,8.847700381247712
97,54219,1,0.212362133433050,0.006877838564494
98,54220,1,2.800010715472693,0.090684819221526
99,54221,1,1.044737527407041,0.033836239726982
100,54239,1,0.717898084270609,0.023250788874417
101,54240,1,10.712834449803230,0.346959906282551
102,54241,1,0.888036621374714,0.028761118672314
103,54242,1,6.248306127202301,0.202365836835892
104,54243,1,2.019717183659759,0.065413209551905
105,54930,1,8.140445018572159,0.263647128495851
106,54931,1,25.694800810431854,0.832185517559267
107,54932,1,34.671577796435550,1.122919189994615
108,54933,1,59.572748793026989,1.929401171564099
109,54934,1,39.055432431921886,1.264900455607527
110,54935,1,23.520453327966202,0.761764248353913
111,54936,1,173.525528308283242,5.620025337045877
112,54937,1,19.805135860791179,0.641435104254739
113,54938,1,5.948793661613633,0.192665433317287
114,54939,1,1.561486735374637,0.050572357288409
115,54940,1,19.034322835106103,0.616470542690178
116,54941,1,9.982957793675169,0.323321163670164
117,54942,1,0.273195027265553,0.008848052445976
118,54959,1,1.100249331117503,0.035634117805207
119,54960,1,55.441856665901625,1.795612681505143
120,54961,1,21.785698558974683,0.705580205289236
121,54962,1,14.433689095929363,0.467468384721199
122,54963,1,25.748942843233330,0.833939032440391
123,54964,1,19.542651241603906,0.632933933131395
124,54965,1,1.866212752245270,0.060441613716360
125,55650,1,3.622943885034572,0.117337412120807
126,55651,1,37.613429844829952,1.218197868647845
127,55652,1,49.479362401022641,1.602503522482279
128,55653,1,65.953934918806169,2.136070634304888
129,55654,1,192.083438790271884,6.221066164457245
130,55655,1,519.745584978835382,16.833162157036654
131,55656,1,17.618074287812004,0.570602059839593
132,55657,1,8.819619513853500,0.285643764431604
133,55659,1,2.522858446880953,0.081708602368072
134,55660,1,2.676666275751697,0.086690024431539
135,55661,1,13.433109494099742,0.435062301484711
136,55662,1,10.616406314371101,0.343836858223767
137,55680,1,0.582547496004074,0.018867147211672
